path,notes_list
../dataset/schubert/schuim-3.mid,"[62, 58, 63, 70, 71, 70]"
../dataset/schubert/schub_d760_1.mid,"[75, 63, 71, 62, 72, 70, 76, 77, 71, 67, 71, 74, 63, 66, 84, 73, 71, 81, 66, 59, 69, 67, 81]"
../dataset/schubert/schubert_D850_4.mid,"[74, 84, 82, 78, 69, 83, 83, 79, 81, 70, 69, 85, 66, 78, 70, 81, 81, 62, 67, 75, 76, 86, 84, 70, 92]"
../dataset/schubert/schub_d960_3.mid,"[76, 73, 68, 74, 73, 73, 79, 66, 69, 74, 70, 77]"
../dataset/schubert/schub_d760_4.mid,"[55, 80, 73, 78, 63, 78, 64, 79, 66]"
../dataset/schubert/schubert_D935_3.mid,"[76, 74, 75, 70, 69, 71, 85, 80, 67, 72, 54, 79, 90, 67, 62, 62, 65, 75, 74, 60, 53]"
../dataset/schubert/schub_d960_4.mid,"[75, 81, 70, 77, 72, 72, 78, 74, 72, 82, 80, 74, 71, 66, 86, 72, 69, 79]"
../dataset/schubert/schumm-6.mid,"[72, 69, 67, 65, 56, 64, 61, 64, 72]"
../dataset/schubert/schumm-1.mid,"[69, 67, 69, 61, 79, 61, 57, 70, 70, 79, 76, 81, 63, 67]"
../dataset/schubert/schuim-2.mid,"[70, 73, 63, 64, 71, 63, 67]"
../dataset/schubert/schumm-5.mid,"[74, 65, 68, 78, 70, 69, 76, 80, 66, 75, 65, 73, 70, 73]"
../dataset/schubert/schu_143_3.mid,"[75, 69, 73, 72, 68, 70, 71, 70, 71, 76, 76, 79, 74, 77, 74]"
../dataset/schubert/schubert_D935_1.mid,"[71, 71, 65, 61, 75, 56, 79, 73, 67, 57, 75, 62, 70, 60, 59, 72]"
../dataset/schubert/schub_d960_2.mid,"[65, 68, 64, 63, 73, 69, 58, 69, 62, 78, 73, 72, 67, 59, 79, 63, 68, 58]"
../dataset/schubert/schumm-2.mid,"[68, 70, 69, 69, 68, 66, 73, 74, 77]"
../dataset/schubert/schuim-1.mid,"[71, 68, 70, 76, 71, 67, 59, 72, 69, 66, 72, 66, 69, 68, 64, 67, 65, 71]"
../dataset/schubert/schuim-4.mid,"[75, 64, 60, 86, 83, 81, 63, 74, 87, 72, 76]"
../dataset/schubert/schumm-3.mid,"[72, 78, 70, 69, 74, 68, 72, 72]"
../dataset/schubert/schubert_D935_4.mid,"[79, 91, 87, 66, 76, 76, 80, 77, 77, 92, 76, 79, 49, 47, 71, 77, 76, 60, 76, 66, 79, 89, 77]"
../dataset/schubert/schub_d760_2.mid,"[71, 75, 62, 71, 61, 75, 59, 61, 72, 63, 76, 77, 80, 56, 65, 64]"
../dataset/schubert/schu_143_2.mid,"[74, 57, 71, 69, 68, 79, 65, 65, 64, 82, 60]"
../dataset/schubert/schubert_D850_2.mid,"[73, 76, 70, 71, 73, 68, 69, 64, 70, 70, 82, 60, 65, 56, 84, 66, 76, 69, 71, 70, 66, 67, 66, 61, 71, 70, 73, 59]"
../dataset/schubert/schumm-4.mid,"[68, 67, 60, 65, 68, 67, 59, 67, 65]"
../dataset/schubert/schub_d960_1.mid,"[73, 77, 63, 68, 50, 70, 76, 75, 74, 65, 65, 73, 78, 75, 66, 60, 66, 81, 53, 72, 70, 71, 53, 58, 79, 69, 58, 79, 70, 72, 82]"
../dataset/schubert/schub_d760_3.mid,"[75, 68, 70, 63, 72, 79, 60, 79, 85, 61, 73, 71, 67, 75, 71, 69, 74]"
../dataset/schubert/schubert_D850_1.mid,"[72, 78, 78, 78, 77, 60, 76, 72, 58, 66, 68, 71, 72, 61, 52, 60, 64, 66, 73, 73, 69, 65]"
../dataset/schubert/schubert_D850_3.mid,"[72, 75, 74, 70, 65, 68, 67, 66, 73, 67, 69, 71, 67, 68, 67, 66, 72, 73, 62, 71, 67, 70]"
../dataset/chopin/chpn_op35_1.mid,"[73, 73, 73, 60, 62, 58, 70, 73, 65, 53, 75, 71, 73, 53, 68, 67, 67, 67, 80, 74]"
../dataset/chopin/chpn-p16.mid,"[70, 63, 77, 82, 77, 63, 70, 69, 78]"
../dataset/chopin/chpn-p11.mid,"[71, 78, 63, 66, 77]"
../dataset/chopin/chpn_op27_2.mid,"[78, 77, 74, 80, 75, 92, 74, 75, 75, 77, 87, 74, 75, 88, 77, 79, 73, 76, 71, 74, 78, 77]"
../dataset/chopin/chpn_op10_e12.mid,"[75, 92, 87, 53, 75, 65, 72, 72, 71, 72, 60, 74, 77, 71, 84, 67, 92, 74, 65, 84, 74, 92, 73, 56, 77, 80, 53, 75, 53, 73, 76, 50, 63, 65, 62, 59, 62, 71, 61, 61, 61, 62, 68, 64, 68, 64, 59, 59, 56, 62, 59, 69, 56, 75, 91, 62, 53]"
../dataset/chopin/chpn_op53.mid,"[74, 58, 55, 56, 75, 60, 68, 56, 65, 60, 64, 63, 66, 71, 68]"
../dataset/chopin/chpn-p14.mid,"[57, 57, 63, 61]"
../dataset/chopin/chpn-p17.mid,"[70, 73, 68, 67, 60]"
../dataset/chopin/chpn_op25_e11.mid,"[75, 77, 77, 75, 76, 79, 87, 75, 88, 95, 77, 86, 85, 87, 82, 90, 87, 84, 87, 82, 86, 45, 78, 76, 78, 77, 76, 101, 89, 96, 101, 78, 76, 75, 97, 72, 77, 69, 66, 48, 67, 77, 66, 75, 47]"
../dataset/chopin/chpn_op25_e1.mid,"[75, 78, 68, 60, 70, 92, 72, 68]"
../dataset/chopin/chpn_op10_e05.mid,"[80, 90, 97, 94, 94, 78]"
../dataset/chopin/chpn-p21.mid,"[72, 76, 74, 66, 67, 60, 67, 77, 75, 75, 69, 72, 74]"
../dataset/chopin/chpn_op25_e4.mid,"[73, 62, 73, 64, 72, 67]"
../dataset/chopin/chpn-p4.mid,"[59, 70, 52, 70, 71, 72]"
../dataset/chopin/chpn-p19.mid,"[78, 75, 70]"
../dataset/chopin/chpn-p18.mid,"[69, 60, 43, 64, 71, 70, 69, 43, 48, 61, 70, 62]"
../dataset/chopin/chp_op31.mid,"[76, 58, 101, 41, 75, 77, 75, 70, 74, 48, 63, 68, 47, 80, 55, 60, 39, 42, 67, 60, 41, 51, 41, 78, 58, 86, 51, 57, 69, 57, 70, 80, 66]"
../dataset/chopin/chpn_op33_2.mid,"[69, 64, 70, 62, 79]"
../dataset/chopin/chp_op18.mid,"[75, 63, 77, 76, 77, 79, 73, 91, 77, 83, 73, 73, 74, 73, 79, 84, 77, 79, 74, 75, 72]"
../dataset/chopin/chpn_op23.mid,"[74, 48, 60, 66, 65, 73, 77, 83, 74, 61, 77, 80, 89, 89, 69, 60, 63, 70, 80, 67, 45, 72, 78, 67, 100, 80, 66, 62, 66, 46, 50, 79, 77, 68, 80]"
../dataset/chopin/chpn-p9.mid,"[62, 59]"
../dataset/chopin/chpn-p24.mid,"[69, 72, 78, 64, 60, 65, 98, 86, 57, 66, 69, 62, 46, 65, 66, 68, 65]"
../dataset/chopin/chpn_op35_3.mid,"[69, 62, 73, 75, 73, 72, 73, 73, 72, 80, 69]"
../dataset/chopin/chpn_op10_e01.mid,"[64, 78, 62, 65, 63, 64, 66, 64, 64, 56]"
../dataset/chopin/chpn_op25_e3.mid,"[72, 75, 57, 70, 68]"
