,path,notes_list,str_notes
0,../dataset/schubert/schub_d960_3.mid,"[76, 73, 68, 74, 73, 73, 79, 66, 69, 74, 70, 77]",E5 C♯5 G♯4 D5 C♯5 C♯5 G5 F♯4 A4 D5 A♯4 F5
1,../dataset/schubert/schub_d760_4.mid,"[55, 80, 73, 78, 63, 78, 64, 79, 66]",G3 G♯5 C♯5 F♯5 D♯4 F♯5 E4 G5 F♯4
2,../dataset/schubert/schubert_D935_3.mid,"[76, 74, 75, 70, 69, 71, 85, 80, 67, 72, 54, 79, 90, 67, 62, 62, 65, 75, 74, 60, 53]",E5 D5 D♯5 A♯4 A4 B4 C♯6 G♯5 G4 C5 F♯3 G5 F♯6 G4 D4 D4 F4 D♯5 D5 C4 F3
3,../dataset/schubert/schub_d960_4.mid,"[75, 81, 70, 77, 72, 72, 78, 74, 72, 82, 80, 74, 71, 66, 86, 72, 69, 79]",D♯5 A5 A♯4 F5 C5 C5 F♯5 D5 C5 A♯5 G♯5 D5 B4 F♯4 D6 C5 A4 G5
4,../dataset/schubert/schumm-6.mid,"[72, 69, 67, 65, 56, 64, 61, 64, 72]",C5 A4 G4 F4 G♯3 E4 C♯4 E4 C5
5,../dataset/schubert/schumm-1.mid,"[69, 67, 69, 61, 79, 61, 57, 70, 70, 79, 76, 81, 63, 67]",A4 G4 A4 C♯4 G5 C♯4 A3 A♯4 A♯4 G5 E5 A5 D♯4 G4
6,../dataset/schubert/schumm-5.mid,"[74, 65, 68, 78, 70, 69, 76, 80, 66, 75, 65, 73, 70, 73]",D5 F4 G♯4 F♯5 A♯4 A4 E5 G♯5 F♯4 D♯5 F4 C♯5 A♯4 C♯5
7,../dataset/schubert/schu_143_3.mid,"[75, 69, 73, 72, 68, 70, 71, 70, 71, 76, 76, 79, 74, 77, 74]",D♯5 A4 C♯5 C5 G♯4 A♯4 B4 A♯4 B4 E5 E5 G5 D5 F5 D5
8,../dataset/schubert/schubert_D935_1.mid,"[71, 71, 65, 61, 75, 56, 79, 73, 67, 57, 75, 62, 70, 60, 59, 72]",B4 B4 F4 C♯4 D♯5 G♯3 G5 C♯5 G4 A3 D♯5 D4 A♯4 C4 B3 C5
9,../dataset/schubert/schub_d960_2.mid,"[65, 68, 64, 63, 73, 69, 58, 69, 62, 78, 73, 72, 67, 59, 79, 63, 68, 58]",F4 G♯4 E4 D♯4 C♯5 A4 A♯3 A4 D4 F♯5 C♯5 C5 G4 B3 G5 D♯4 G♯4 A♯3
10,../dataset/schubert/schumm-2.mid,"[68, 70, 69, 69, 68, 66, 73, 74, 77]",G♯4 A♯4 A4 A4 G♯4 F♯4 C♯5 D5 F5
11,../dataset/schubert/schuim-1.mid,"[71, 68, 70, 76, 71, 67, 59, 72, 69, 66, 72, 66, 69, 68, 64, 67, 65, 71]",B4 G♯4 A♯4 E5 B4 G4 B3 C5 A4 F♯4 C5 F♯4 A4 G♯4 E4 G4 F4 B4
12,../dataset/schubert/schuim-4.mid,"[75, 64, 60, 86, 83, 81, 63, 74, 87, 72, 76]",D♯5 E4 C4 D6 B5 A5 D♯4 D5 D♯6 C5 E5
13,../dataset/schubert/schumm-3.mid,"[72, 78, 70, 69, 74, 68, 72, 72]",C5 F♯5 A♯4 A4 D5 G♯4 C5 C5
14,../dataset/schubert/schub_d760_2.mid,"[71, 75, 62, 71, 61, 75, 59, 61, 72, 63, 76, 77, 80, 56, 65, 64]",B4 D♯5 D4 B4 C♯4 D♯5 B3 C♯4 C5 D♯4 E5 F5 G♯5 G♯3 F4 E4
15,../dataset/schubert/schu_143_2.mid,"[74, 57, 71, 69, 68, 79, 65, 65, 64, 82, 60]",D5 A3 B4 A4 G♯4 G5 F4 F4 E4 A♯5 C4
16,../dataset/schubert/schumm-4.mid,"[68, 67, 60, 65, 68, 67, 59, 67, 65]",G♯4 G4 C4 F4 G♯4 G4 B3 G4 F4
17,../dataset/schubert/schub_d760_3.mid,"[75, 68, 70, 63, 72, 79, 60, 79, 85, 61, 73, 71, 67, 75, 71, 69, 74]",D♯5 G♯4 A♯4 D♯4 C5 G5 C4 G5 C♯6 C♯4 C♯5 B4 G4 D♯5 B4 A4 D5
18,../dataset/schubert/schubert_D850_1.mid,"[72, 78, 78, 78, 77, 60, 76, 72, 58, 66, 68, 71, 72, 61, 52, 60, 64, 66, 73, 73, 69, 65]",C5 F♯5 F♯5 F♯5 F5 C4 E5 C5 A♯3 F♯4 G♯4 B4 C5 C♯4 E3 C4 E4 F♯4 C♯5 C♯5 A4 F4
19,../dataset/schubert/schubert_D850_3.mid,"[72, 75, 74, 70, 65, 68, 67, 66, 73, 67, 69, 71, 67, 68, 67, 66, 72, 73, 62, 71, 67, 70]",C5 D♯5 D5 A♯4 F4 G♯4 G4 F♯4 C♯5 G4 A4 B4 G4 G♯4 G4 F♯4 C5 C♯5 D4 B4 G4 A♯4
20,../dataset/chopin/chpn_op35_1.mid,"[73, 73, 73, 60, 62, 58, 70, 73, 65, 53, 75, 71, 73, 53, 68, 67, 67, 67, 80, 74]",C♯5 C♯5 C♯5 C4 D4 A♯3 A♯4 C♯5 F4 F3 D♯5 B4 C♯5 F3 G♯4 G4 G4 G4 G♯5 D5
21,../dataset/chopin/chpn-p16.mid,"[70, 63, 77, 82, 77, 63, 70, 69, 78]",A♯4 D♯4 F5 A♯5 F5 D♯4 A♯4 A4 F♯5
