path,notes_list,notes_len
../dataset/schubert/schub_d960_3.mid,"[76, 73, 68, 74, 73, 73, 79, 66, 69, 74, 70, 77]",48
../dataset/schubert/schub_d760_4.mid,"[55, 80, 73, 78, 63, 78, 64, 79, 66]",36
../dataset/schubert/schubert_D935_3.mid,"[76, 74, 75, 70, 69, 71, 85, 80, 67, 72, 54, 79, 90, 67, 62, 62, 65, 75, 74, 60, 53]",84
../dataset/schubert/schub_d960_4.mid,"[75, 81, 70, 77, 72, 72, 78, 74, 72, 82, 80, 74, 71, 66, 86, 72, 69, 79]",72
../dataset/schubert/schumm-6.mid,"[72, 69, 67, 65, 56, 64, 61, 64, 72]",36
../dataset/schubert/schumm-1.mid,"[69, 67, 69, 61, 79, 61, 57, 70, 70, 79, 76, 81, 63, 67]",56
../dataset/schubert/schumm-5.mid,"[74, 65, 68, 78, 70, 69, 76, 80, 66, 75, 65, 73, 70, 73]",56
../dataset/schubert/schu_143_3.mid,"[75, 69, 73, 72, 68, 70, 71, 70, 71, 76, 76, 79, 74, 77, 74]",60
../dataset/schubert/schubert_D935_1.mid,"[71, 71, 65, 61, 75, 56, 79, 73, 67, 57, 75, 62, 70, 60, 59, 72]",64
../dataset/schubert/schub_d960_2.mid,"[65, 68, 64, 63, 73, 69, 58, 69, 62, 78, 73, 72, 67, 59, 79, 63, 68, 58]",72
../dataset/schubert/schumm-2.mid,"[68, 70, 69, 69, 68, 66, 73, 74, 77]",36
../dataset/schubert/schuim-1.mid,"[71, 68, 70, 76, 71, 67, 59, 72, 69, 66, 72, 66, 69, 68, 64, 67, 65, 71]",72
../dataset/schubert/schuim-4.mid,"[75, 64, 60, 86, 83, 81, 63, 74, 87, 72, 76]",44
../dataset/schubert/schumm-3.mid,"[72, 78, 70, 69, 74, 68, 72, 72]",32
../dataset/schubert/schub_d760_2.mid,"[71, 75, 62, 71, 61, 75, 59, 61, 72, 63, 76, 77, 80, 56, 65, 64]",64
../dataset/schubert/schu_143_2.mid,"[74, 57, 71, 69, 68, 79, 65, 65, 64, 82, 60]",44
../dataset/schubert/schumm-4.mid,"[68, 67, 60, 65, 68, 67, 59, 67, 65]",36
../dataset/schubert/schub_d760_3.mid,"[75, 68, 70, 63, 72, 79, 60, 79, 85, 61, 73, 71, 67, 75, 71, 69, 74]",68
../dataset/schubert/schubert_D850_1.mid,"[72, 78, 78, 78, 77, 60, 76, 72, 58, 66, 68, 71, 72, 61, 52, 60, 64, 66, 73, 73, 69, 65]",88
../dataset/schubert/schubert_D850_3.mid,"[72, 75, 74, 70, 65, 68, 67, 66, 73, 67, 69, 71, 67, 68, 67, 66, 72, 73, 62, 71, 67, 70]",88
../dataset/chopin/chpn_op35_1.mid,"[73, 73, 73, 60, 62, 58, 70, 73, 65, 53, 75, 71, 73, 53, 68, 67, 67, 67, 80, 74]",80
../dataset/chopin/chpn-p16.mid,"[70, 63, 77, 82, 77, 63, 70, 69, 78]",36
../dataset/chopin/chpn_op27_2.mid,"[78, 77, 74, 80, 75, 92, 74, 75, 75, 77, 87, 74, 75, 88, 77, 79, 73, 76, 71, 74, 78, 77]",88
../dataset/chopin/chpn_op53.mid,"[74, 58, 55, 56, 75, 60, 68, 56, 65, 60, 64, 63, 66, 71, 68]",60
../dataset/chopin/chpn_op25_e1.mid,"[75, 78, 68, 60, 70, 92, 72, 68]",32
../dataset/chopin/chpn-p21.mid,"[72, 76, 74, 66, 67, 60, 67, 77, 75, 75, 69, 72, 74]",52
../dataset/chopin/chpn-p18.mid,"[69, 60, 43, 64, 71, 70, 69, 43, 48, 61, 70, 62]",48
../dataset/chopin/chp_op18.mid,"[75, 63, 77, 76, 77, 79, 73, 91, 77, 83, 73, 73, 74, 73, 79, 84, 77, 79, 74, 75, 72]",84
../dataset/chopin/chpn-p24.mid,"[69, 72, 78, 64, 60, 65, 98, 86, 57, 66, 69, 62, 46, 65, 66, 68, 65]",68
../dataset/chopin/chpn_op35_3.mid,"[69, 62, 73, 75, 73, 72, 73, 73, 72, 80, 69]",44
../dataset/chopin/chpn_op10_e01.mid,"[64, 78, 62, 65, 63, 64, 66, 64, 64, 56]",40
../dataset/chopin/chpn_op7_1.mid,"[76, 77, 77, 77, 79, 77, 76, 69]",32
../dataset/chopin/chpn-p13.mid,"[67, 71, 78, 73, 58, 66, 63, 73, 66]",36
../dataset/chopin/chpn_op66.mid,"[74, 68, 69, 71, 79, 93, 70, 59, 82, 74, 92, 68, 67]",52
../dataset/chopin/chpn-p2.mid,"[64, 62, 71, 69, 62, 66, 62, 59, 48, 55]",40
../dataset/chopin/chpn_op7_2.mid,"[76, 71, 68, 76, 75, 74, 64, 70, 71]",36
../dataset/chopin/chpn_op27_1.mid,"[71, 73, 73, 69, 67, 69, 69, 73, 73, 65]",40
../dataset/chopin/chpn-p22.mid,"[70, 72, 70, 77, 60, 75, 67, 72, 55, 63]",40
../dataset/chopin/chpn-p3.mid,"[62, 74, 69, 59, 59, 76, 81, 68, 71, 70, 72, 59, 68]",52
../dataset/chopin/chpn_op33_4.mid,"[78, 69, 67, 61, 61, 76, 61, 78, 61, 67, 73, 70, 64]",52
../dataset/granados/gra_esp_3.mid,"[73, 62, 62, 73, 62, 66, 65, 62, 64, 76, 70, 71, 64, 65, 65]",60
../dataset/grieg/grieg_berceuse.mid,"[73, 73, 64, 76, 74, 81, 74, 68, 72, 82]",40
../dataset/grieg/grieg_zwerge.mid,"[75, 62, 66, 84, 61, 74, 50, 75, 62, 74, 74]",44
../dataset/grieg/grieg_once_upon_a_time.mid,"[71, 73, 62, 69, 68, 66, 54, 67, 72, 78, 76, 63, 67]",52
../dataset/grieg/grieg_waechter.mid,"[67, 67, 64, 59, 60, 75, 59, 65]",32
../dataset/grieg/grieg_spring.mid,"[58, 76, 66, 74, 63, 74, 67, 66, 85, 75, 66, 71]",48
../dataset/grieg/grieg_voeglein.mid,"[74, 80, 74, 81, 74, 49, 58, 67, 84, 72]",40
../dataset/grieg/grieg_march.mid,"[72, 67, 73, 60, 67, 67, 50, 67, 60, 55, 84, 60, 52, 50, 71, 71, 53]",68
../dataset/grieg/grieg_kobold.mid,"[71, 52, 73, 49, 63, 47, 63, 69, 68, 54, 71]",44
../dataset/grieg/grieg_wedding.mid,"[67, 73, 63, 78, 47, 75, 64, 76, 51, 79, 74, 77, 71, 74, 73]",60
../dataset/grieg/grieg_album.mid,"[76, 69, 72, 61, 67, 65, 81, 71, 82, 79, 69, 82, 67, 74, 89, 67, 64, 84]",72
../dataset/grieg/grieg_brooklet.mid,"[74, 72, 59, 76, 71, 61, 66, 62, 72, 71]",40
../dataset/grieg/grieg_walzer.mid,"[64, 70, 67, 64, 64, 74, 69, 64, 63, 71, 72, 69, 64, 68, 65, 62, 69]",68
../dataset/haydn/hay_40_1.mid,"[74, 67, 70, 77, 72, 69, 83, 73, 62, 69, 59, 69, 76, 80, 76]",60
../dataset/haydn/hay_40_2.mid,"[74, 67, 66, 71, 86, 71, 77, 75, 68, 64, 75, 83, 74]",52
../dataset/haydn/haydn_43_2.mid,"[75, 74, 73, 74, 72, 68, 72, 75, 71, 73, 72, 73]",48
